Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,660,Anguilla,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,15518.302406,X,Figure from international organizations,
MK,Macro Indicators,660,Anguilla,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-30.794409,X,Figure from international organizations,
MK,Macro Indicators,28,Antigua and Barbuda,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,14041.086592,X,Figure from international organizations,
MK,Macro Indicators,28,Antigua and Barbuda,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-20.659416,X,Figure from international organizations,
MK,Macro Indicators,32,Argentina,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12390.693756,X,Figure from international organizations,
MK,Macro Indicators,32,Argentina,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-10.52416,X,Figure from international organizations,
MK,Macro Indicators,533,Aruba,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,25819.395806,X,Figure from international organizations,
MK,Macro Indicators,533,Aruba,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-18.698325,X,Figure from international organizations,
MK,Macro Indicators,44,Bahamas,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,23566.685331,X,Figure from international organizations,
MK,Macro Indicators,44,Bahamas,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-24.18138,X,Figure from international organizations,
MK,Macro Indicators,52,Barbados,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,14855.688407,X,Figure from international organizations,
MK,Macro Indicators,52,Barbados,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-13.469456,X,Figure from international organizations,
MK,Macro Indicators,84,Belize,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,5040.485495,X,Figure from international organizations,
MK,Macro Indicators,84,Belize,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-14.669858,X,Figure from international organizations,
MK,Macro Indicators,60,Bermuda,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,99513.7492,X,Figure from international organizations,
MK,Macro Indicators,60,Bermuda,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-7.17201,X,Figure from international organizations,
MK,Macro Indicators,68,Bolivia (Plurinational State of),6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,2920.197443,X,Figure from international organizations,
MK,Macro Indicators,68,Bolivia (Plurinational State of),61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-9.952405,X,Figure from international organizations,
