Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,660,Anguilla,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,15518.302406,X,Figure from international organizations,
MK,Macro Indicators,28,Antigua and Barbuda,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,14041.086592,X,Figure from international organizations,
MK,Macro Indicators,32,Argentina,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12390.693756,X,Figure from international organizations,
MK,Macro Indicators,533,Aruba,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,25819.395806,X,Figure from international organizations,
MK,Macro Indicators,44,Bahamas,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,23566.685331,X,Figure from international organizations,
MK,Macro Indicators,52,Barbados,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,14855.688407,X,Figure from international organizations,
MK,Macro Indicators,84,Belize,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,5040.485495,X,Figure from international organizations,
MK,Macro Indicators,60,Bermuda,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,99513.7492,X,Figure from international organizations,
MK,Macro Indicators,68,Bolivia (Plurinational State of),6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,2920.197443,X,Figure from international organizations,
MK,Macro Indicators,76,Brazil,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,8204.192466,X,Figure from international organizations,
MK,Macro Indicators,92,British Virgin Islands,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,45480.579651,X,Figure from international organizations,
MK,Macro Indicators,124,Canada,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,42413.958197,X,Figure from international organizations,
MK,Macro Indicators,136,Cayman Islands,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,76113.686812,X,Figure from international organizations,
MK,Macro Indicators,152,Chile,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12780.937223,X,Figure from international organizations,
MK,Macro Indicators,170,Colombia,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,5865.654095,X,Figure from international organizations,
MK,Macro Indicators,188,Costa Rica,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12058.00359,X,Figure from international organizations,
MK,Macro Indicators,192,Cuba,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7178.501341,X,Figure from international organizations,
MK,Macro Indicators,531,Curaçao,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12073.14544,X,Figure from international organizations,
MK,Macro Indicators,212,Dominica,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,6609.495007,X,Figure from international organizations,
MK,Macro Indicators,214,Dominican Republic,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7570.741014,X,Figure from international organizations,
MK,Macro Indicators,218,Ecuador,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,5331.976611,X,Figure from international organizations,
MK,Macro Indicators,222,El Salvador,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,3762.087014,X,Figure from international organizations,
MK,Macro Indicators,304,Greenland,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,48249.554243,X,Figure from international organizations,
MK,Macro Indicators,308,Grenada,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7915.241079,X,Figure from international organizations,
MK,Macro Indicators,320,Guatemala,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,4004.870068,X,Figure from international organizations,
MK,Macro Indicators,328,Guyana,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,9126.785332,X,Figure from international organizations,
MK,Macro Indicators,332,Haiti,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,1275.497295,X,Figure from international organizations,
MK,Macro Indicators,340,Honduras,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,2190.974317,X,Figure from international organizations,
MK,Macro Indicators,388,Jamaica,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,4765.83993,X,Figure from international organizations,
MK,Macro Indicators,484,Mexico,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,9147.072744,X,Figure from international organizations,
