Area,Prevalence of undernourishment,GDP per capita
Argentina,3.7,12390.693756
Belize,7.4,5040.485495
Bolivia (Plurinational State of),13.9,2920.197443
Brazil,4.1,8204.192466
Canada,<2.5,42413.958197
Chile,2.6,12780.937223
Colombia,8.2,5865.654095
Costa Rica,3.4,12058.00359
Ecuador,15.4,5331.976611
El Salvador,7.7,3762.087014
Guatemala,16,4004.870068
Guyana,4.9,9126.785332
Honduras,15.3,2190.974317
Mexico,6.1,9147.072744
Nicaragua,18.6,1886.519872
Panama,5.8,12230.054522
Paraguay,8.7,6095.391372
Peru,8.3,5748.947886
Suriname,8.2,7275.512306
United States of America,<2.5,57680.739791
Uruguay,<2.5,16510.164195
Venezuela (Bolivarian Republic of),22.9,3439.31757
